Data,Model,# ES,# Synthetic,# Patients,ACC,Recall,Precision,F-score,AUC
ES,DenseNet169,6148,0,612,61.37,62.38,96.46,73.31,80.5
ES,MobileNet v2,6148,0,612,68.67,68.86,96.5,78.07,83.99
ES,EfficientNet b0,6148,0,612,63.09,62.64,96.94,74.34,81.15
ES,ResNet18,6148,0,612,54.94,51.23,90.95,61.51,76.09
ES,ViT b16,6148,0,612,68.24,67.05,96.58,77.53,83.46
ES+DA,DenseNet169,6148,0,612,68.67,67.67,92.43,75.87,82.52
ES+DA,MobileNet v2,6148,0,612,69.96,69.05,95.27,78.95,83.93
ES+DA,EfficientNet b0,6148,0,612,59.66,59.26,94.72,70.91,79.09
ES+DA,ResNet18,6148,0,612,63.09,61.1,91.52,71.01,79.86
ES+DA,ViT b16,6148,0,612,74.68,72.8,97.05,82.15,86.23
HB,DenseNet169,1150,5000,486,75.54,73.4,98.66,83.4,77.04
HB,MobileNet v2,1150,5000,486,67.81,65.18,96.52,76.63,75.78
HB,EfficientNet b0,1150,5000,486,72.96,69.81,97.5,79.45,77.65
HB,ResNet18,1150,5000,486,64.81,60.15,96.92,69.95,76.88
HB,ViT b16,1150,5000,486,72.1,70.28,96.81,80.57,76.26
HB+DA,DenseNet169,1150,5000,486,80.26,77.61,89.11,82.59,87.99
HB+DA,MobileNet v2,1150,5000,486,77.68,74.29,86.69,79.36,86.11
HB+DA,EfficientNet b0,1150,5000,486,72.96,68.75,92.65,75.91,83.87
HB+DA,ResNet18,1150,5000,486,82.4,81.56,89.15,84.9,89.29
HB+DA,ViT b16,1150,5000,486,81.97,79.92,95.36,86.54,89.78